nes	OK	10-Yard Fight (U).nes
nes	OK	1943 (U).nes
nes	OK	3-D Battles of World Runner, The (U).nes
nes	OK	720 (U).nes
nes	OK	8 Eyes (U).nes
nes	OK	Abadox (U).nes
nes	OK	Action 52 (U) [!].nes
nes	OK	Addams Family - Pugsley's Scavenger Hunt, The (U).nes
nes	OK	Addams Family, The (U).nes
nes	OK	AD&D Dragon Strike (U) [a1].nes
nes	OK	AD&D Dragon Strike (U).nes
nes	OK	AD&D Heroes of the Lance (U).nes
nes	OK	AD&D Hillsfar (U) [!].nes
nes	OK	AD&D Pool of Radiance (U).nes
nes	OK	Adventures in the Magic Kingdom (U) [a1].nes
nes	OK	Adventures in the Magic Kingdom (U).nes
nes	OK	Adventures of Bayou Billy, The (U).nes
nes	HANG	Adventures of Captain Comic, The (U).nes
nes	OK	Adventures of Dino Riki (U).nes
nes	OK	Adventures of Lolo 2 (U).nes
nes	OK	Adventures of Lolo 3 (U).nes
nes	OK	Adventures of Lolo (U) [!].nes
nes	OK	Adventures of Rad Gravity, The (U).nes
nes	OK	Adventures of Rocky and Bullwinkle and Friends, The (U).nes
nes	OK	Adventures of Tom Sawyer (U).nes
nes	OK	After Burner (U).nes
nes	OK	Air Fortress (U).nes
nes	OK	Airwolf (U).nes
nes	OK	Alfred Chicken (U).nes
nes	OK	Alien 3 (U).nes
nes	OK	Alien Syndrome (U).nes
nes	OK	All-Pro Basketball (U).nes
nes	OK	Alpha Mission (U).nes
nes	HANG	Al Unser Jr Turbo Racing (U) [a1].nes
nes	OK	Al Unser Jr Turbo Racing (U) [a2].nes
nes	OK	Al Unser Jr Turbo Racing (U).nes
nes	OK	Amagon (U) [a1].nes
nes	OK	Amagon (U) [a2].nes
nes	OK	Amagon (U).nes
nes	OK	American Gladiators (U).nes
nes	OK	Anticipation (U).nes
nes	OK	Archon (U).nes
nes	OK	Arch Rivals (U).nes
nes	OK	Arkanoid (U).nes
nes	OK	Arkista's Ring (U) [!].nes
nes	OK	Astyanax (U).nes
nes	OK	Astyanax (U) (Prototype).nes
nes	OK	Athena (U) [a1].nes
nes	OK	Athena (U).nes
nes	OK	Athletic World (U).nes
nes	OK	Attack of the Killer Tomatoes (U).nes
nes	OK	Baby Boomer (U).nes
nes	OK	Back to the Future 2 & 3 (U).nes
nes	OK	Back to the Future (U).nes
nes	OK	Bad Dudes (U).nes
nes	OK	Bad News Baseball (U).nes
nes	OK	Bad Street Brawler (U).nes
nes	OK	Bandai Golf - Challenge Pebble Beach (U).nes
nes	OK	Bandit Kings of Ancient China (U) [a1].nes
nes	OK	Bandit Kings of Ancient China (U).nes
nes	OK	Barbie (U) (Rev 3).nes
nes	OK	Barbie (U) (Rev X).nes
nes	OK	Bard's Tale - Tales of the Unknown, The (U) [!].nes
nes	OK	Barker Bill's Trick Shooting (U).nes
nes	OK	Baseball Simulator 1.000 (U).nes
nes	OK	Baseball Stars 2 (U).nes
nes	OK	Baseball Stars (U).nes
nes	OK	Bases Loaded 2 (U).nes
nes	OK	Bases Loaded 3 (U).nes
nes	OK	Bases Loaded 4 (U).nes
nes	OK	Bases Loaded (U).nes
nes	OK	Base Wars (U) [a1].nes
nes	OK	Base Wars (U).nes
nes	OK	Batman - Return of the Joker (U).nes
nes	OK	Batman Returns (U).nes
nes	OK	Batman (U).nes
nes	OK	Batman (U) (Prototype).nes
nes	OK	Battle Chess (U).nes
nes	OK	Battle of Olympus, The (U).nes
nes	OK	Battleship (U).nes
nes	OK	Battle Tank (U).nes
nes	OK	Battletoads Double Dragon (U).nes
nes	OK	Battletoads (U).nes
nes	OK	Bee 52 (U).nes
nes	OK	Beetlejuice (U) [!].nes
nes	OK	Best of the Best Championship Karate (U).nes
nes	OK	Bible Adventures (U) (V1.2).nes
nes	OK	Bible Adventures (U) (V1.3).nes
nes	OK	Bible Buffet (U) (Ver 6.0).nes
nes	OK	Big Bird's Hide and Speak (U).nes
nes	OK	Bigfoot (U).nes
nes	OK	Big Nose Freaks Out (Aladdin) (U).nes
nes	OK	Big Nose Freaks Out (U).nes
nes	OK	Big Nose the Caveman (U).nes
nes	OK	Bill Elliott's NASCAR Challenge (U).nes
nes	OK	Bill & Ted's Excellent Video Game Adventure (U).nes
nes	OK	Bionic Commando (U).nes
nes	OK	Black Bass USA, The (U).nes
nes	OK	Blackjack (U).nes
nes	OK	Blades of Steel (U).nes
nes	OK	Blaster Master (U).nes
nes	OK	Blaster Master (U) (Prototype).nes
nes	OK	Blue Marlin, The (U).nes
nes	OK	Blues Brothers, The (U).nes
nes	OK	Bo Jackson Baseball (U).nes
nes	OK	Bomberman 2 (U).nes
nes	OK	Bomberman (U).nes
nes	OK	Bonk's Adventure (U).nes
nes	OK	Boulder Dash (U).nes
nes	OK	Boy and His Blob - Trouble on Blobolonia, A (U).nes
nes	OK	Bram Stoker's Dracula (U).nes
nes	OK	Breakthru (U).nes
nes	OK	Break Time (U).nes
nes	OK	Bubble Bobble Part 2 (U).nes
nes	OK	Bubble Bobble (U).nes
nes	OK	Bucky O'Hare (U) [!].nes
nes	OK	Bugs Bunny Birthday Bash (Prototype) (U).nes
nes	OK	Bugs Bunny Birthday Blowout, The (U).nes
nes	OK	Bugs Bunny Crazy Castle, The (U).nes
nes	OK	Bugs Bunny Fun House (Prototype) (U).nes
nes	OK	Bump'n'Jump (U).nes
nes	OK	Burai Fighter (U).nes
nes	OK	Burger Time (U) [!].nes
nes	OK	Cabal (U) [a1].nes
nes	OK	Cabal (U).nes
nes	OK	Caesar's Palace (U).nes
nes	OK	California Games (U) [a1].nes
nes	OK	California Games (U).nes
nes	OK	Caltron 6-in-1 (U).nes
nes	OK	Captain America and the Avengers (U).nes
nes	OK	Captain Planet and the Planeteers (U).nes
nes	OK	Captain SkyHawk (U).nes
nes	OK	Casino Kid 2 (U).nes
nes	OK	Casino Kid (U).nes
nes	OK	Castelian (U).nes
nes	OK	Castle of Deceit (U).nes
nes	OK	Castle of Dragon (U).nes
nes	OK	Castlequest (U).nes
nes	OK	Castlevania 2 - Simon's Quest (U).nes
nes	OK	Castlevania 3 - Dracula's Curse (U).nes
nes	OK	Castlevania (U) (PRG 0).nes
nes	OK	Castlevania (U) (PRG 1).nes
nes	OK	Caveman Games (U).nes
nes	OK	Challenge of the Dragon (U).nes
nes	OK	Championship Bowling (U) [!].nes
nes	OK	Championship Pool (U).nes
nes	OK	Cheetahmen 2 (U).nes
nes	OK	Chessmaster, The (U).nes
nes	OK	Chiller (U) [!].nes
nes	OK	Chip 'n Dale Rescue Rangers 2 (U).nes
nes	OK	Chip 'n Dale Rescue Rangers (U) [!].nes
nes	OK	Chubby Cherub (U).nes
nes	OK	Circus Caper (U).nes
nes	OK	Circus Charlie.nes
nes	EXIT1	CIRCUS.NES
nes	OK	City Connection (U).nes
nes	OK	Clash At Demonhead (U) [a1].nes
nes	OK	Clash At Demonhead (U).nes
nes	OK	Classic Concentration (U).nes
nes	OK	Cliffhanger (U).nes
nes	OK	Cobra Command (U).nes
nes	OK	Cobra Triangle (U).nes
nes	OK	Code Name Viper (U).nes
nes	OK	Color A Dinosaur (U).nes
nes	OK	Commando (U).nes
nes	OK	Conan (U).nes
nes	OK	Conflict (U) [!].nes
nes	OK	Conquest of the Crystal Palace (U).nes
nes	OK	Contra Force (U).nes
nes	OK	Contra (U).nes
nes	OK	Cool World (U).nes
nes	OK	Cowboy Kid (U).nes
nes	OK	Crash'n The Boys Street Challenge (U).nes
nes	OK	Crystalis (Prototype) (U) [a1].nes
nes	HANG	Crystalis (Prototype) (U).nes
nes	OK	Crystalis (U) [a1].nes
nes	OK	Crystalis (U) [a2].nes
nes	OK	Crystalis (U).nes
nes	OK	Crystal Mines (U).nes
nes	OK	Cyberball (U).nes
nes	OK	Cybernoid - The Fighting Machine (U).nes
nes	OK	Dance Aerobics (U).nes
nes	OK	Danny Sullivan's Indy Heat (U).nes
nes	OK	Darkman (U).nes
nes	OK	Darkwing Duck (U).nes
nes	OK	Darkwing Duck (U) (Prototype).nes
nes	OK	Dash Galaxy in the Alien Asylum (U).nes
nes	OK	Day Dreamin' Davey (U).nes
nes	OK	Days of Thunder (U).nes
nes	OK	Deadly Towers (U).nes
nes	OK	Deathbots (U) [a1].nes
nes	OK	Deathbots (U).nes
nes	OK	Death Race (U).nes
nes	OK	Defender 2 (U).nes
nes	OK	Defender of the Crown (U).nes
nes	OK	Defenders of Dynatron City (U).nes
nes	HANG	Deja Vu (U).nes
nes	OK	Demon Sword (U).nes
nes	OK	Desert Commander (U).nes
nes	OK	Destination Earthstar (U).nes
nes	OK	Destiny of an Emperor (U).nes
nes	OK	Dick Tracy (U).nes
nes	OK	Die Hard (U).nes
nes	OK	Dig Dug II (U) [!].nes
nes	OK	Digger - The Legend of the Lost City (U).nes
nes	OK	Dirty Harry (U).nes
nes	OK	Dizzy The Adventurer (Aladdin) (U).nes
nes	OK	Donkey Kong Classics (U).nes
nes	OK	Donkey Kong Jr. Math (U).nes
nes	OK	Double Dare (U).nes
nes	OK	Double Dragon 2 - The Revenge (U).nes
nes	OK	Double Dragon 3 - The Sacred Stones (U).nes
nes	OK	Double Dragon (U).nes
nes	OK	Double Dribble (U) (PRG 0).nes
nes	OK	Double Dribble (U) (PRG 1) [!].nes
nes	OK	Double Strike (U) (V1.0).nes
nes	OK	Double Strike (U) (V1.1).nes
nes	OK	Drac's Night Out (Prototype) (U) [!].nes
nes	OK	Dragon Fighter (U).nes
nes	OK	Dragon Power (U).nes
nes	OK	Dragon's Lair (U).nes
nes	OK	Dragon Spirit - The New Legend (U).nes
nes	OK	Dragon Warrior 2 (U).nes
nes	OK	Dragon Warrior 3 (U).nes
nes	OK	Dragon Warrior 4 (U).nes
nes	OK	Dragon Warrior (U) (PRG 0).nes
nes	OK	Dragon Warrior (U) (PRG 1).nes
nes	OK	Dr Chaos (U).nes
nes	OK	Dr Jekyll and Mr Hyde (U).nes
nes	OK	Duck Tales 2 (U).nes
nes	OK	Duck Tales (U).nes
nes	OK	Duck Tales (U) (Prototype).nes
nes	OK	Dudes With Attitude (U).nes
nes	OK	Dungeon Magic - Sword of the Elements (U).nes
nes	OK	Dusty Diamond's All-Star Softball (U).nes
nes	OK	Dynowarz - Destruction of Spondylus (U).nes
nes	OK	Earth Bound (Prototype) (U).nes
nes	OK	Earth Bound Zero (Neo Demiforce v1.01 Hack-1) (U).nes
nes	OK	Earth Bound Zero (Neo Demiforce v1.01 Hack-2) (U).nes
nes	OK	Elevator Action (U).nes
nes	OK	Eliminator Boat Duel (U).nes
nes	OK	Evert & Lendl Top Player's Tennis (U).nes
nes	OK	Exodus (U) (V4.0) [!].nes
nes	OK	F-117a Stealth Fighter (U) [!].nes
nes	OK	F-15 City War (U) [a1].nes
nes	OK	F-15 City War (U).nes
nes	OK	F-15 Strike Eagle (U).nes
nes	OK	Family Feud (U).nes
nes	OK	Fantastic Adventures of Dizzy, The (1993 Version) (U).nes
nes	OK	Fantastic Adventures of Dizzy, The (U).nes
nes	OK	Fantasy Zone (U).nes
nes	OK	Faria (U).nes
nes	OK	Faxanadu (U).nes
nes	OK	Felix the Cat (U).nes
nes	OK	Ferrari - Grand Prix Challenge (U) [!].nes
nes	OK	Fester's Quest (U).nes
nes	OK	Fester's Quest (U) (Prototype).nes
nes	OK	Final Fantasy (U) [a1].nes
nes	OK	Final Fantasy (U).nes
nes	OK	Fire Hawk (U) [a1].nes
nes	OK	Fire Hawk (U).nes
nes	OK	Firehouse Rescue (U).nes
nes	OK	Fire 'n Ice (U).nes
nes	OK	Fist of the North Star (U).nes
nes	OK	Flight of the Intruder (U).nes
nes	OK	Flintstones 2 - The Surprise at Dinosaur Peak!, The (U).nes
nes	OK	Flintstones - The Rescue of Dino & Hoppy, The (U).nes
nes	OK	Flying Dragon - The Secret Scroll (U).nes
nes	OK	Flying Warriors (U).nes
nes	OK	Formula One Built To Win (U) [!].nes
nes	OK	Frankenstein - The Monster Returns (U).nes
nes	OK	Freedom Force (U) [!].nes
nes	OK	Free Fall (U) (Prototype) [!].nes
nes	OK	Friday the 13th (U).nes
nes	OK	Fun House (U).nes
nes	OK	Galactic Crusader (Sachen) (U).nes
nes	OK	Galaga (U).nes
nes	OK	Galaxy 5000 (U).nes
nes	OK	Gargoyle's Quest 2 - The Demon Darkness (U).nes
nes	OK	Gauntlet 2 (U).nes
nes	OK	Gauntlet (U).nes
nes	OK	Gemfire (U).nes
nes	OK	Genghis Khan (U).nes
nes	OK	George Foreman's KO Boxing (U).nes
nes	OK	Ghostbusters 2 (U).nes
nes	OK	Ghostbusters (U).nes
nes	OK	Ghosts'n Goblins (U).nes
nes	OK	Ghoul School (U).nes
nes	OK	GI Joe - The Atlantis Factor (U).nes
nes	OK	GI Joe (U).nes
nes	OK	Gilligan's Island (U).nes
nes	OK	Goal! Two (U).nes
nes	OK	Goal! (U).nes
nes	OK	Godzilla 2 - War of the Monsters (U).nes
nes	OK	Godzilla - Monster of Monsters! (U).nes
nes	OK	Gold Medal Challenge '92 (U).nes
nes	OK	Golf Grand Slam (U).nes
nes	OK	Golgo 13 - Top Secret Episode (U).nes
nes	OK	Goonies 2, The (U) [a1].nes
nes	OK	Goonies 2, The (U).nes
nes	OK	Gotcha! (U).nes
nes	OK	Gradius (U).nes
nes	OK	Great Waldo Search, The (U).nes
nes	OK	Greg Norman's Golf Power (U).nes
nes	OK	Gremlins 2 - The New Batch (U).nes
nes	OK	Guardian Legend, The (U).nes
nes	OK	Guerrilla War (U).nes
nes	OK	Gun Nac (U).nes
nes	OK	Gun Smoke (U).nes
nes	OK	Gyruss (U).nes
nes	OK	Harlem Globetrotters (U).nes
nes	OK	Hatris (U).nes
nes	OK	Heavy Barrel (U).nes
nes	OK	Heavy Shreddin' (U).nes
nes	OK	Hero Quest (U) (Prototype) [!].nes
nes	OK	High Speed (U).nes
nes	OK	Hollywood Squares (U).nes
nes	OK	Home Alone 2 - Lost in New York (U).nes
nes	OK	Home Alone (U) [!].nes
nes	OK	Hook (U).nes
nes	OK	Hoops (U).nes
nes	OK	Hudson Hawk (U).nes
nes	OK	Hudson's Adventure Island 2 (U).nes
nes	OK	Hudson's Adventure Island 3 (U).nes
nes	OK	Hudson's Adventure Island (U).nes
nes	OK	Hunt for Red October, The (U).nes
nes	OK	Hydlide (U).nes
nes	OK	I Can Remember (U).nes
nes	OK	Ice Climber (U).nes
nes	OK	Ice Hockey (U).nes
nes	OK	Ikari 3 - The Rescue (U).nes
nes	OK	Ikari Warriors 2 - Victory Road (U).nes
nes	OK	Ikari Warriors (U) (PRG 0).nes
nes	OK	Ikari Warriors (U) (PRG 1) [!].nes
nes	OK	Image Fight (U).nes
nes	OK	Immortal, The (U).nes
nes	OK	Impossible Mission 2 (U).nes
nes	OK	Incredible Crash Dummies, The (U).nes
nes	OK	Indiana Jones and the Last Crusade (Taito) (U).nes
nes	OK	Indiana Jones and the Last Crusade (UBI Soft) (U).nes
nes	OK	Indiana Jones and the Temple of Doom (Tengen) (U).nes
nes	OK	Indiana Jones and the Temple of Doom (U).nes
nes	OK	Infiltrator (U).nes
nes	OK	Ironsword - Wizards & Warriors 2 (U).nes
nes	OK	Iron Tank (U).nes
nes	OK	Isolated Warrior (U).nes
nes	OK	Ivan Ironman Stewart's Super Offroad (U).nes
nes	OK	Jackal (U) [a1].nes
nes	OK	Jackal (U).nes
nes	OK	Jackie Chan's Action Kung Fu (U).nes
nes	OK	Jack Nicklaus' Greatest 18 Holes of Champ. Golf (U).nes
nes	OK	James Bond Jr (U).nes
nes	OK	Jaws (U) [a1].nes
nes	OK	Jaws (U) [a2].nes
nes	OK	Jaws (U) [!].nes
nes	OK	Jeopardy! 25th Anniversary Edition (U).nes
nes	OK	Jeopardy! Junior Edition (U).nes
nes	OK	Jeopardy! (U).nes
nes	OK	Jetsons - Cogswell's Caper!, The (U).nes
nes	OK	Jimmy Connor's Tennis (U).nes
nes	OK	Joe & Mac (U).nes
nes	OK	John Elway's Quarterback (U).nes
nes	OK	Jordan Vs Bird - One On One (U).nes
nes	OK	Joshua (U) (Ver 5.0 CHR 6.0).nes
nes	OK	Joshua (U) (Ver 6.0) [!].nes
nes	OK	Journey to Silius (U).nes
nes	OK	Joust (U).nes
nes	OK	Joypad Test Cartridge (U).nes
nes	OK	Jungle Book, The (U).nes
nes	OK	Jurassic Park (U).nes
nes	OK	Kabuki - Quantum Fighter (U).nes
nes	OK	Karate Champ (U).nes
nes	OK	Karate Kid, The (U).nes
nes	OK	Karnov (U).nes
nes	OK	Kickle Cubicle (U).nes
nes	OK	Kick Master (U).nes
nes	OK	Kid Klown (U).nes
